datetime,open,high,low,close,volume,변동 %
2020-07-08 0:00,23495.00,24175.00,22800.00,23510.00,6.88K,0.0028
2020-07-09 0:00,23250.00,23475.00,22715.00,23196.70,0.98K,-0.0133
2020-07-10 0:00,23650.00,27122.50,23650.00,26675.00,-,0.1499
2020-07-11 0:00,26650.00,27900.00,26535.00,27110.00,17.47K,0.0163
2020-07-12 0:00,26955.00,27450.00,26080.00,27210.00,7.63K,0.0037
2020-07-13 0:00,27315.00,29370.00,27235.00,29155.00,13.79K,0.0715
2020-07-14 0:00,29075.00,29700.00,28230.00,29385.00,5.53K,0.0079
2020-07-15 0:00,29220.00,29220.00,29220.00,29220.00,-,-0.0056
2020-07-16 0:00,29197.50,34095.00,29197.50,33465.00,-,0.1453
2020-07-17 0:00,33405.00,34170.00,28440.00,31550.00,15.00K,-0.0572
2020-07-18 0:00,31655.00,34680.00,30250.00,34515.00,8.15K,0.094
2020-07-19 0:00,34655.00,37035.00,33780.00,36565.00,19.47K,0.0594
2020-07-20 0:00,36445.00,41000.00,36445.00,39625.00,16.83K,0.0837
2020-07-21 0:00,40275.00,42730.00,37000.00,39520.00,15.38K,-0.0026
2020-07-22 0:00,40350.00,40350.00,38422.50,38650.00,-,-0.022
2020-07-23 0:00,38925.00,39165.00,31105.00,33780.00,22.21K,-0.126
2020-07-24 0:00,34840.00,37050.00,32780.00,34500.00,14.58K,0.0213
2020-07-25 0:00,34055.00,37580.00,32610.00,36375.00,9.79K,0.0543
2020-07-26 0:00,37500.00,40365.00,36915.00,39605.00,10.51K,0.0888
2020-07-27 0:00,39205.00,39980.00,34555.00,35625.00,14.05K,-0.1005
2020-07-28 0:00,36425.00,36565.00,35765.00,35915.00,-,0.0081
2020-07-29 0:00,35915.00,37637.50,34875.00,36775.00,-,0.0239
2020-07-30 0:00,36250.00,38155.00,34890.00,36595.00,14.76K,-0.0049
2020-07-31 0:00,36700.00,36845.00,33435.00,35035.00,9.62K,-0.0426
2020-08-01 0:00,35200.00,35740.00,30930.00,31920.00,13.37K,-0.0889
2020-08-02 0:00,30825.00,33860.00,28900.00,33580.00,12.90K,0.052
2020-08-03 0:00,33617.50,33617.50,32420.00,32680.00,-,-0.0268
2020-08-04 0:00,32300.00,34930.00,32035.00,33440.00,8.77K,0.0233
2020-08-05 0:00,32665.00,32845.00,30800.00,31950.00,8.49K,-0.0446
2020-08-06 0:00,32655.00,32925.00,29075.00,31475.00,13.65K,-0.0149
2020-08-07 0:00,30640.00,33355.00,29860.00,32650.00,7.27K,0.0373
2020-08-08 0:00,33515.00,38755.00,32000.00,37242.30,-,0.1407
2020-08-09 0:00,34232.50,34330.00,33060.00,33342.50,-,-0.1047
2020-08-10 0:00,33315.00,35005.00,32530.00,34000.00,6.29K,0.0197
2020-08-11 0:00,33680.00,36370.00,33605.00,36170.00,5.83K,0.0638
2020-08-12 0:00,36015.00,37790.00,35740.00,37390.00,4.81K,0.0337
2020-08-13 0:00,37660.00,39200.00,36435.00,37915.00,6.04K,0.014
2020-08-14 0:00,37700.00,38755.00,36895.00,38015.00,4.77K,0.0026
2020-08-15 0:00,37875.00,39457.50,37875.00,39197.50,-,0.0311
2020-08-16 0:00,39025.00,45500.00,38305.00,44755.00,14.37K,0.1418
2020-08-17 0:00,45210.00,48885.00,45175.00,47765.00,11.11K,0.0673
2020-08-18 0:00,47500.00,48060.00,43950.00,44915.00,9.74K,-0.0597
2020-08-19 0:00,45615.00,49215.00,44345.00,47525.00,9.07K,0.0581
